#name				min	max	mean_st	min_st	max_st
solsol_wf			0.8	1.6	1.55	1.5	1.6
solta_wf			0.1	0.8	0.4	0.35	0.45
gasgas_wf			0.3	1.6	0.35	0.3	0.4
vasvas_wf			0.8	2.5	1.65	1.55	1.75
hamham_wf			0.2	1.0	0.25	0.2	0.3
gluglu_wf			0.2	0.85	0.5	0.45	0.55
tata_wl_sw			1.0	3.0	1.8	1.85	1.95
tata_wl_st			1.0	3.0	1.8	1.85	1.95
hfhf_wl	0.2			1.5	1.45	1.4	1.5
hamhf_wl			0.0	3.0	1.65	1.6	1.7
ta_bl_sw			0.0	1.0	0.75	0.745	0.755
ta_bl_st			0.0	1.0	0.75	0.745	0.755
hf_bl				0.2	1.0	0.8	0.8	0.85
ham_bl				0.4	1.5	0.8	0.76	0.87
kbodyweight			0.8	2.4	1.24	1.24	1.25
kp				1.5	3.0	2.3	2.295	2.315
kd				0.15	0.6	0.55	0.5	0.6
kref				0.0	0.3	0.1	0.1	0.105
hipkp_hf			0.0	2.0	1.0	0.95	1.05
hipkd_hf			0.0	1.0	0.2	0.195	0.205
hipkp_glu			0.0	2.0	1.0	0.95	1.05
hipkd_glu			0.0	1.0	0.2	0.195	0.205
kref_hip			-3.14	0.0	-0.341	-0.342	-0.341
kneekp_vas			0.0	2.0	1.0	0.95	1.05
kneekd_vas			0.0	1.0	0.2	0.195	0.205
kref_knee			0.0	1.14	0.141	0.141	0.142
deltas_vas			0.0	1.05	1.0	0.95	1.05
deltas_glu			0.0	1.0	0.25	0.225	0.275
deltas_hf			0.0	1.0	0.25	0.225	0.275
sol_stance_activitybasal	0.01	0.1	0.0125	0.01	0.015
sol_swing_activitybasal		0.01	0.1	0.0125	0.01	0.015
ta_stance_activitybasal		0.01	0.1	0.0125	0.01	0.015
ta_swing_activitybasal		0.01	0.1	0.0125	0.01	0.015
gas_stance_activitybasal	0.01	0.1	0.0125	0.01	0.015
gas_swing_activitybasal		0.01	0.1	0.0125	0.01	0.015
vas_stance_activitybasal	0.01	0.1	0.0825	0.08	0.085
vas_swing_activitybasal		0.01	0.1	0.0825	0.08	0.085
ham_stance_activitybasal	0.01	0.1	0.0525	0.05	0.055
ham_swing_activitybasal		0.01	0.1	0.0525	0.05	0.055
glu_stance_activitybasal	0.01	0.1	0.0525	0.05	0.055
glu_swing_activitybasal		0.01	0.1	0.0525	0.05	0.055
hf_stance_activitybasal		0.01	0.1	0.0525	0.05	0.055
hf_swing_activitybasal		0.01	0.1	0.0525	0.05	0.055
stance_end			0.0	3.0	0.4	0.3	0.5
swing_end			-2.5	-0.0	-0.15	-0.175	-0.125
stance_end			0.0	3.0	1.0	0.95	1.05
swing_end			-2.5	-0.0	-0.5	-0.55	-0.45
kphiknee			0.0	3	2.0	1.95	2.05
kphiknee_off			0	3.14	2.97	2.97	2.9705
klean				0.0	2	0.8	0.785	0.825
