#ground num start height length dim
1 0 12.0 0.02 6.0 3
1 1 20.0 0.04 6.0 3
1 2 28.0 0.06 6.0 3
1 3 36.0 0.08 6.0 3
1 4 44.0 0.1 6.0 3
1 5 52.0 0.12 6.0 3
1 6 60.0 0.14 6.0 3
1 7 68.0 0.16 6.0 3
1 8 76.0 0.18 6.0 3
1 9 84.0 0.2 6.0 3
2 0 12.0 0.04 6.0 3
2 1 20.0 0.08 6.0 3
2 2 28.0 0.12 6.0 3
2 3 36.0 0.16 6.0 3
2 4 44.0 0.2 6.0 3
2 5 52.0 0.24 6.0 3
2 6 60.0 0.28 6.0 3
2 7 68.0 0.32 6.0 3
2 8 76.0 0.36 6.0 3
2 9 84.0 0.4 6.0 3
3 0 10.835906621 0.0357296181949 5.35944272922 3
3 1 16.7589977789 0.0493295664533 3.69971748399 3
3 2 20.8399956602 0.168269320248 8.4134660124 3
3 3 30.0970393012 0.209895636849 7.87108638183 3
3 4 38.3819328651 0.267478845548 8.02436536644 3
3 5 46.4129198422 0.319942661605 7.99856654013 3
3 6 55.1644627634 0.306833216782 6.57499750248 3
3 7 62.2362548892 0.398860094226 7.47862676673 3
3 8 69.7580437508 0.353583449535 5.89305749226 3
3 9 75.9389331116 0.483990742287 7.25986113432 3
4 0 10.1620585038 0.0509245517891 7.63868276838 3
4 1 18.6683678573 0.0485728516399 3.642963873 3
4 2 22.3562444611 0.0798965149921 3.9948257496 3
4 3 26.571424506 0.208847206562 7.83177024609 3
4 4 34.6366259825 0.114019854691 3.42059564073 3
4 5 38.5281692219 0.181002482943 4.52506207356 3
4 6 43.1639490293 0.337203593031 7.22579127924 3
4 7 50.5506015824 0.354796976113 6.6524433021 3
4 8 57.8544070275 0.22909123417 3.81818723616 3
4 9 62.4353028811 0.387851780428 5.81777670642 3
5 0 10.8683475711 0.0220158481522 3.30237722283 3
5 1 14.5341232697 0.117823328988 8.83674967407 3
5 2 23.7051700365 0.0999622883744 4.99811441871 3
5 3 29.2521813275 0.154756561874 5.80337107026 3
5 4 35.8561805448 0.280506326651 8.41518979953 3
5 5 45.1512311752 0.330663507784 8.26658769459 3
5 6 54.0795409491 0.330564636528 7.0835279256 3
5 7 61.2241570233 0.320349091934 6.00654547377 3
5 8 67.7167456796 0.536793771211 8.94656285352 3
5 9 76.6788800895 0.434204618316 6.51306927474 3
6 0 12.0 0.01 6.0 3
6 1 20.0 0.02 6.0 3
6 2 28.0 0.03 6.0 3
6 3 36.0 0.04 6.0 3
6 4 44.0 0.05 6.0 3
6 5 52.0 0.06 6.0 3
6 6 60.0 0.07 6.0 3
6 7 68.0 0.08 6.0 3
6 8 76.0 0.09 6.0 3
6 9 84.0 0.1 6.0 3
