,,,Grf (slow walking) n=19,,,Grf (normal walking) n=19,,,,,Grf (fast walking) n=17,,,
time,vertical,[N/kg],forward,[N/kg],time,vertical,[N/kg],forward,[N/kg],time,vertical,[N/kg],forward,[N/kg]
% stride,avg,sd,avg,sd,% stride,avg,sd,avg,sd,% stride,avg,sd,avg,sd
0,0.58,0.71,0.06,0.18,0,0.64,0.57,0.03,0.14,0,1.06,1.22,0.04,0.33
2,2.60,1.31,-0.22,0.42,2,2.92,1.31,-0.16,0.35,2,4.12,1.78,-0.34,0.57
4,4.69,1.28,-0.85,0.41,4,5.35,1.49,-0.82,0.53,4,7.66,1.77,-1.46,0.67
6,6.62,1.16,-1.28,0.42,6,7.31,1.46,-1.42,0.47,6,9.87,1.66,-2.23,0.65
8,8.01,1.12,-1.47,0.49,8,8.69,1.28,-1.75,0.42,8,11.16,1.66,-2.63,0.68
10,9.03,1.23,-1.52,0.53,10,9.76,1.07,-1.92,0.45,10,12.11,1.57,-2.80,0.64
12,9.67,1.14,-1.43,0.47,12,10.51,0.87,-1.90,0.44,12,12.67,1.36,-2.67,0.51
14,9.81,0.95,-1.26,0.40,14,10.82,0.74,-1.76,0.40,14,12.56,1.08,-2.32,0.41
16,9.61,0.78,-1.08,0.34,16,10.57,0.74,-1.52,0.37,16,11.75,0.88,-1.92,0.36
18,9.23,0.67,-0.91,0.28,18,9.95,0.78,-1.28,0.35,18,10.49,0.90,-1.53,0.33
20,8.87,0.58,-0.75,0.26,20,9.14,0.75,-1.06,0.33,20,9.04,0.95,-1.19,0.33
22,8.64,0.60,-0.64,0.25,22,8.31,0.66,-0.86,0.31,22,7.66,0.96,-0.90,0.33
24,8.52,0.69,-0.56,0.25,24,7.70,0.61,-0.69,0.27,24,6.57,1.02,-0.68,0.33
26,8.50,0.81,-0.47,0.31,26,7.29,0.70,-0.55,0.24,26,5.77,1.11,-0.51,0.32
28,8.53,0.93,-0.36,0.39,28,7.10,0.85,-0.42,0.21,28,5.34,1.22,-0.40,0.31
30,8.62,1.00,-0.25,0.42,30,7.07,0.98,-0.31,0.20,30,5.20,1.27,-0.31,0.30
32,8.71,0.99,-0.21,0.30,32,7.19,1.08,-0.20,0.19,32,5.34,1.26,-0.22,0.28
34,8.80,0.90,-0.11,0.28,34,7.45,1.13,-0.07,0.19,34,5.78,1.18,-0.11,0.26
36,8.92,0.76,0.02,0.29,36,7.84,1.13,0.08,0.20,36,6.50,1.03,0.03,0.26
38,9.10,0.65,0.16,0.31,38,8.37,1.11,0.28,0.24,38,7.55,0.88,0.23,0.32
40,9.33,0.62,0.33,0.34,40,8.97,1.07,0.52,0.30,40,8.76,0.88,0.52,0.43
42,9.59,0.65,0.53,0.40,42,9.61,1.03,0.79,0.35,42,10.02,0.99,0.93,0.56
44,9.85,0.64,0.76,0.46,44,10.20,0.97,1.11,0.39,44,11.07,1.05,1.39,0.69
46,10.01,0.59,0.99,0.52,46,10.62,0.94,1.44,0.43,46,11.71,0.99,1.86,0.80
48,9.99,0.58,1.22,0.57,48,10.63,1.07,1.77,0.42,48,11.70,0.74,2.29,0.85
50,9.63,0.77,1.44,0.57,50,10.13,1.34,2.05,0.36,50,10.81,0.70,2.57,0.79
52,8.74,1.20,1.59,0.54,52,8.97,1.64,2.19,0.29,52,8.83,1.43,2.52,0.66
54,7.14,1.75,1.53,0.50,54,6.92,1.31,2.02,0.42,54,6.26,2.05,2.03,0.68
56,5.00,2.00,1.23,0.58,56,4.55,1.65,1.50,0.51,56,3.71,2.12,1.26,0.76
58,2.97,1.64,0.80,0.53,58,2.42,1.16,0.81,0.41,58,1.90,1.70,0.62,0.62
60,1.42,1.04,0.36,0.32,60,1.03,0.60,0.29,0.21,60,0.77,1.11,0.24,0.33
62,0.56,0.56,0.11,0.15,62,0.33,0.24,0.07,0.09,62,0.26,0.59,0.07,0.17
64,0.14,0.25,0.02,0.05,64,0.06,0.06,0.00,0.03,64,0.08,0.25,0.01,0.04
66,0.03,0.09,0.00,0.01,66,0.00,0.01,0.00,0.00,66,0.00,0.00,0.00,0.00
68,0.00,0.02,0.00,0.00,68,0.00,0.00,0.00,0.00,68,0.00,0.00,0.00,0.00
70,0.00,0.00,0.00,0.00,70,0.00,0.00,0.00,0.00,70,0.00,0.00,0.00,0.00
72,0.00,0.00,0.00,0.00,72,0.00,0.00,0.00,0.00,72,0.00,0.00,0.00,0.00
74,0.00,0.00,0.00,0.00,74,0.00,0.00,0.00,0.00,74,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,76,0.00,0.00,0.00,0.00,76,0.00,0.00,0.00,0.00
78,0.00,0.00,0.00,0.00,78,0.00,0.00,0.00,0.00,78,0.00,0.00,0.00,0.00
80,0.00,0.00,0.00,0.00,80,0.00,0.00,0.00,0.00,80,0.00,0.00,0.00,0.00
82,0.00,0.00,0.00,0.00,82,0.00,0.00,0.00,0.00,82,0.00,0.00,0.00,0.00
84,0.00,0.00,0.00,0.00,84,0.00,0.00,0.00,0.00,84,0.00,0.00,0.00,0.00
86,0.00,0.00,0.00,0.00,86,0.00,0.00,0.00,0.00,86,0.00,0.00,0.00,0.00
88,0.00,0.00,0.00,0.00,88,0.00,0.00,0.00,0.00,88,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00,90,0.00,0.00,0.00,0.00,90,0.00,0.00,0.00,0.00
92,0.00,0.00,0.00,0.00,92,0.00,0.00,0.00,0.00,92,0.00,0.00,0.00,0.00
