,,,joint powers (slow walking) n=19,,,,,joint powers (normal walking) n=19,,,,,,,joint powers (fast walking) n=17,,,,,
time,hip,[W/kg],knee,[W/kg],ankle,[W/kg],time,hip,[W/kg],knee,[W/kg],ankle,[W/kg],time,hip,[W/kg],knee,[W/kg],ankle,[W/kg]
%,avg,sd,avg,sd,avg,sd,%,avg,sd,avg,sd,avg,sd,%,avg,sd,avg,sd,avg,sd
0,0.059,0.13,0.115,0.15,-0.004,0.02,0,0.009,0.11,0.332,0.32,-0.020,0.06,0,0.140,0.22,0.516,0.52,-0.003,0.04
2,0.250,0.30,0.268,0.31,-0.053,0.10,2,0.093,0.19,0.746,0.66,-0.061,0.12,2,0.359,0.40,0.977,0.88,-0.106,0.17
4,0.208,0.30,-0.003,0.30,-0.095,0.11,4,0.147,0.22,0.306,0.72,-0.090,0.13,4,0.354,0.32,-0.145,1.18,-0.180,0.21
6,0.175,0.31,-0.309,0.39,-0.042,0.11,6,0.186,0.37,-0.393,0.70,-0.083,0.21,6,0.232,0.26,-1.436,1.42,-0.055,0.20
8,0.158,0.28,-0.485,0.45,-0.032,0.18,8,0.242,0.58,-0.758,0.75,-0.102,0.23,8,0.074,0.42,-2.106,1.30,0.025,0.30
10,0.146,0.32,-0.428,0.39,-0.110,0.21,10,0.272,0.82,-0.759,0.65,-0.224,0.32,10,-0.107,0.63,-1.874,1.09,-0.071,0.40
12,0.114,0.41,-0.177,0.28,-0.203,0.20,12,0.275,0.94,-0.460,0.55,-0.358,0.37,12,-0.233,0.73,-0.889,0.87,-0.287,0.39
14,0.065,0.44,0.025,0.23,-0.267,0.19,14,0.243,0.93,-0.061,0.48,-0.442,0.34,14,-0.350,0.77,0.152,0.75,-0.464,0.38
16,0.028,0.42,0.128,0.20,-0.303,0.20,16,0.203,0.83,0.231,0.45,-0.436,0.29,16,-0.532,0.70,0.831,0.66,-0.501,0.32
18,0.050,0.39,0.163,0.21,-0.316,0.20,18,0.075,0.62,0.371,0.43,-0.367,0.31,18,-0.717,0.60,1.062,0.56,-0.414,0.25
20,0.084,0.42,0.130,0.24,-0.287,0.19,20,-0.061,0.51,0.386,0.40,-0.275,0.32,20,-0.796,0.56,0.959,0.49,-0.277,0.23
22,0.057,0.37,0.074,0.23,-0.254,0.22,22,-0.143,0.51,0.314,0.38,-0.204,0.29,22,-0.769,0.51,0.699,0.42,-0.135,0.25
24,0.034,0.27,0.025,0.20,-0.244,0.28,24,-0.155,0.48,0.204,0.35,-0.173,0.27,24,-0.702,0.48,0.447,0.35,-0.015,0.25
26,-0.041,0.21,-0.012,0.17,-0.262,0.34,26,-0.125,0.41,0.083,0.31,-0.184,0.29,26,-0.581,0.46,0.235,0.31,0.055,0.24
28,-0.053,0.20,-0.047,0.17,-0.281,0.32,28,-0.096,0.36,-0.012,0.30,-0.230,0.34,28,-0.503,0.44,0.108,0.26,0.060,0.25
30,-0.051,0.18,-0.069,0.15,-0.304,0.28,30,-0.080,0.32,-0.072,0.28,-0.289,0.36,30,-0.458,0.43,0.031,0.23,-0.002,0.26
32,-0.075,0.21,-0.068,0.13,-0.296,0.29,32,-0.079,0.30,-0.103,0.23,-0.338,0.36,32,-0.460,0.40,-0.014,0.19,-0.100,0.25
34,-0.093,0.18,-0.054,0.11,-0.291,0.35,34,-0.108,0.29,-0.104,0.18,-0.370,0.35,34,-0.492,0.35,-0.044,0.17,-0.198,0.26
36,-0.096,0.17,-0.031,0.11,-0.311,0.45,36,-0.145,0.30,-0.089,0.17,-0.385,0.37,36,-0.568,0.32,-0.050,0.13,-0.255,0.31
38,-0.082,0.19,-0.010,0.10,-0.303,0.47,38,-0.169,0.31,-0.049,0.18,-0.382,0.45,38,-0.647,0.32,-0.045,0.10,-0.249,0.47
40,-0.084,0.20,0.016,0.10,-0.251,0.42,40,-0.185,0.31,0.012,0.20,-0.333,0.52,40,-0.722,0.35,-0.017,0.12,-0.129,0.71
42,-0.102,0.20,0.055,0.13,-0.145,0.40,42,-0.209,0.32,0.096,0.27,-0.200,0.55,42,-0.732,0.37,0.042,0.25,0.179,1.01
44,-0.120,0.20,0.100,0.17,0.042,0.46,44,-0.236,0.32,0.180,0.36,0.088,0.60,44,-0.700,0.37,0.097,0.45,0.765,1.27
46,-0.137,0.20,0.146,0.23,0.323,0.66,46,-0.254,0.31,0.227,0.47,0.619,0.82,46,-0.603,0.33,0.057,0.72,1.743,1.49
48,-0.151,0.22,0.163,0.29,0.702,0.86,48,-0.231,0.31,0.211,0.61,1.441,1.08,48,-0.389,0.31,-0.186,1.05,3.040,1.68
50,-0.139,0.25,0.142,0.34,1.192,0.92,50,-0.166,0.35,0.122,0.79,2.448,1.18,50,-0.062,0.36,-0.590,1.28,4.249,1.60
52,-0.076,0.21,0.065,0.44,1.774,0.75,52,-0.042,0.31,-0.042,0.90,3.266,1.11,52,0.295,0.45,-0.996,1.36,4.582,1.04
