,,,joint moments of force (slow walking) n=19,,,,,joint moments of force (normal walking) n=19,,,,,,,joint moments of force (fast walking) n=17,,,,,
time,hip,[Nm/kg],knee,[Nm/kg],ankle,[Nm/kg],time,hip,[Nm/kg],knee,[Nm/kg],ankle,[Nm/kg],time,hip,[Nm/kg],knee,[Nm/kg],ankle,[Nm/kg]
% stride,avg,sd,avg,sd,avg,sd,% stride,avg,sd,avg,sd,avg,sd,% stride,avg,sd,avg,sd,avg,sd
0,0.179,0.22,-0.159,0.11,-0.002,0.02,0,0.249,0.22,-0.196,0.13,-0.009,0.04,0,-0.515,0.31,-0.318,0.18,0.007,0.05
2,0.385,0.26,-0.176,0.16,-0.022,0.06,2,0.600,0.32,-0.281,0.22,-0.034,0.09,2,-0.914,0.39,-0.373,0.27,0.047,0.10
4,0.252,0.22,0.018,0.16,-0.054,0.11,4,0.556,0.33,-0.090,0.27,-0.064,0.10,4,-0.716,0.33,0.035,0.34,0.131,0.17
6,0.208,0.27,0.170,0.20,-0.036,0.15,6,0.416,0.40,0.173,0.29,-0.051,0.14,6,-0.447,0.34,0.450,0.42,0.113,0.24
8,0.190,0.28,0.290,0.26,0.031,0.17,8,0.359,0.50,0.362,0.33,0.028,0.18,8,-0.206,0.39,0.798,0.51,0.039,0.30
10,0.169,0.31,0.379,0.31,0.113,0.20,10,0.305,0.56,0.508,0.38,0.143,0.26,10,-0.006,0.42,1.057,0.56,-0.072,0.33
12,0.125,0.35,0.413,0.34,0.204,0.22,12,0.245,0.54,0.593,0.41,0.260,0.31,12,0.088,0.38,1.144,0.53,-0.207,0.35
14,0.070,0.36,0.388,0.36,0.299,0.24,14,0.159,0.49,0.615,0.43,0.368,0.35,14,0.137,0.34,1.083,0.49,-0.340,0.38
16,0.025,0.35,0.326,0.36,0.390,0.26,16,0.084,0.44,0.556,0.43,0.469,0.36,16,0.207,0.27,0.947,0.41,-0.441,0.36
18,0.020,0.33,0.237,0.34,0.482,0.29,18,0.000,0.36,0.469,0.38,0.545,0.33,18,0.280,0.22,0.774,0.31,-0.505,0.31
20,0.032,0.34,0.140,0.33,0.578,0.32,20,-0.064,0.31,0.362,0.32,0.601,0.29,20,0.314,0.21,0.578,0.24,-0.547,0.28
22,0.013,0.32,0.063,0.32,0.668,0.34,22,-0.092,0.29,0.244,0.27,0.650,0.26,22,0.311,0.21,0.393,0.20,-0.570,0.25
24,-0.023,0.28,0.002,0.30,0.756,0.36,24,-0.098,0.28,0.141,0.24,0.692,0.23,24,0.295,0.22,0.251,0.17,-0.578,0.21
26,-0.055,0.26,-0.048,0.29,0.838,0.37,26,-0.092,0.27,0.052,0.23,0.736,0.22,26,0.262,0.24,0.143,0.17,-0.579,0.19
28,-0.065,0.25,-0.096,0.28,0.915,0.38,28,-0.085,0.27,-0.019,0.23,0.780,0.21,28,0.252,0.26,0.080,0.17,-0.584,0.17
30,-0.059,0.25,-0.137,0.26,0.990,0.37,30,-0.088,0.26,-0.070,0.23,0.825,0.22,30,0.258,0.29,0.039,0.18,-0.604,0.16
32,-0.087,0.28,-0.143,0.27,1.054,0.36,32,-0.100,0.27,-0.114,0.24,0.881,0.23,32,0.279,0.30,0.006,0.18,-0.653,0.15
34,-0.118,0.28,-0.162,0.26,1.116,0.34,34,-0.130,0.27,-0.149,0.25,0.951,0.23,34,0.309,0.29,-0.028,0.18,-0.741,0.14
36,-0.137,0.29,-0.184,0.27,1.179,0.32,36,-0.168,0.29,-0.181,0.28,1.037,0.23,36,0.372,0.28,-0.051,0.19,-0.861,0.13
38,-0.144,0.33,-0.202,0.28,1.246,0.31,38,-0.199,0.31,-0.217,0.30,1.144,0.24,38,0.458,0.30,-0.078,0.21,-1.032,0.14
40,-0.153,0.34,-0.219,0.29,1.319,0.29,40,-0.231,0.35,-0.247,0.33,1.260,0.24,40,0.567,0.35,-0.096,0.26,-1.225,0.17
42,-0.171,0.33,-0.214,0.30,1.398,0.28,42,-0.269,0.38,-0.269,0.34,1.388,0.24,42,0.662,0.40,-0.117,0.31,-1.438,0.21
44,-0.186,0.33,-0.233,0.31,1.470,0.28,44,-0.312,0.38,-0.270,0.34,1.513,0.25,44,0.761,0.45,-0.104,0.35,-1.622,0.24
46,-0.197,0.36,-0.214,0.32,1.521,0.27,46,-0.364,0.39,-0.237,0.35,1.608,0.26,46,0.864,0.45,-0.038,0.38,-1.739,0.25
48,-0.224,0.42,-0.168,0.33,1.535,0.24,48,-0.401,0.39,-0.171,0.36,1.628,0.25,48,0.929,0.47,0.071,0.40,-1.741,0.22
50,-0.244,0.44,-0.116,0.32,1.497,0.22,50,-0.404,0.41,-0.087,0.37,1.565,0.27,50,0.894,0.47,0.180,0.38,-1.598,0.20
52,-0.251,0.43,-0.054,0.31,1.369,0.24,52,-0.356,0.39,-0.004,0.34,1.388,0.29,52,0.745,0.49,0.242,0.33,-1.289,0.26
54,-0.231,0.37,0.013,0.28,1.116,0.30,54,-0.262,0.34,0.054,0.29,1.073,0.31,54,0.628,0.45,0.287,0.29,-0.877,0.32
56,-0.200,0.29,0.066,0.23,0.768,0.33,56,-0.251,0.27,0.116,0.21,0.690,0.28,56,0.583,0.40,0.309,0.26,-0.459,0.31
58,-0.178,0.21,0.084,0.16,0.438,0.28,58,-0.310,0.17,0.157,0.14,0.335,0.19,58,0.531,0.28,0.282,0.21,-0.176,0.22
60,-0.198,0.15,0.096,0.12,0.179,0.18,60,-0.344,0.14,0.156,0.09,0.102,0.09,60,0.437,0.19,0.211,0.18,-0.029,0.11
62,-0.169,0.11,0.071,0.07,0.045,0.09,62,-0.295,0.13,0.114,0.06,-0.001,0.03,62,0.366,0.14,0.174,0.13,0.027,0.04
64,-0.124,0.07,0.039,0.04,-0.006,0.03,64,-0.228,0.11,0.080,0.03,-0.028,0.01,64,0.306,0.11,0.158,0.09,0.036,0.01
66,-0.104,0.09,0.032,0.03,-0.015,0.01,66,-0.169,0.12,0.066,0.03,-0.023,0.01,66,0.229,0.08,0.133,0.04,0.028,0.01
